user_bd_id	user_tg_id	succeed	date	model	cost_for_user_in_fantiks	cost_for_us_in_usd	sent_to_input_size_tok	answer_size_tok	daily_candy	daily_candy_left	paid_candy_left	answer_time
16	794836132	True	2025-03-30 02:07	gpt-4o-mini	1	6.75e-06	13	8	300	300	0	1.49
16	794836132	True	2025-03-30 02:08	gpt-4o-mini	1	1.68e-05	24	22	300	299	0	1.04
16	794836132	True	2025-03-30 02:08	gpt-4o-mini	1	2.295e-05	49	26	300	298	0	1.19
15	624840636	True	2025-03-30 02:16	gpt-4o-mini	1	0.0008868	2808	776	300	298	0	10.74
15	624840636	True	2025-03-30 02:20	gpt-4o-mini	1	0.00055215	413	817	300	297	0	12.92
15	624840636	True	2025-03-30 02:22	gpt-4o-mini	1	0.0005321999999999999	1592	489	300	296	0	9.81
15	624840636	True	2025-03-30 02:28	gpt-4o	5	0.0085425	421	749	300	295	0	15.78
15	624840636	False	2025-03-30 02:29	claude-3-7-sonnet-latest					300	290	0	18.74
15	624840636	True	2025-03-30 02:29	gpt-4o	5	0.0087925	421	774	300	290	0	11.63
15	624840636	True	2025-03-30 02:30	gpt-4o	5	0.0109075	1211	788	300	285	0	7.9
15	624840636	True	2025-03-30 02:32	gpt-4o	5	0.0131275	2627	656	300	280	0	8.13
15	624840636	True	2025-03-30 02:38	gpt-4o	5	0.005724999999999999	366	481	300	275	0	12.55
15	624840636	True	2025-03-30 02:39	gpt-4o	5	0.005644999999999999	378	470	300	270	0	9.51
3	1134973316	True	2025-03-30 11:09	gpt-4o	5	0.0036525	21	360	300	290	0	7.1
6	395123539	True	2025-03-30 11:24	dall-e-3	50	0.08			300	300	0	16.56
